,Date,Location,Shape,Duration,Population,Count
13933,1974-03-21," Wewahitchka, FL", disk,5-10 min.,1981.0,1
40403,1974-04-01," Mill Valley, CA", circle,stell,13903.0,2
4121,1974-04-02," Birmingham (Wisteria Dr., .5 mi down), AL", disk,3:00 mins,212237.0,1
31636,1974-04-04," Petaluma, CA", sphere,Multiple Events,57941.0,1
24903,1974-04-15," Ventura, CA", circle,3-4minutes,,4
19503,1974-04-20," Galesburg, MI", disk,5 minutes,2009.0,1
14746,1974-04-23," Rosalia, WA", chevron,90seconds,550.0,1
26775,1974-05-10," Athens, GA", circle,3 minutes,,1
31741,1974-05-14," Taylorsville, NC", disk,3 min,2098.0,1
22092,1974-05-15," Passaic, NJ", cigar,30 minutes,69781.0,7
21246,1974-05-20," Jonesboro, GA", disk,2-3 minutes,4724.0,1
32113,1974-05-27," Lyndhurst, NJ", circle,2hrs,,2
42500,1974-06-01," Wilmington, NC", triangle,3 minutes,106476.0,15
14904,1974-06-06," Washington, D.C., DC", disk,two minutes,601723.0,2
8310,1974-06-07," Commerce, TX", light,2 min,8078.0,1
30323,1974-06-08," Tulsa, OK", unknown,25 minutes,391906.0,1
6580,1974-06-10," Merkel, TX", disk,5 minutes,2590.0,1
2162,1974-06-14," La Mesa, CA", triangle,2 min,57065.0,1
32408,1974-06-15," Austin, MN", other,2hrs,24718.0,13
11391,1974-06-17," Paulsboro, NJ", oval,2 min,6097.0,1
28521,1974-06-20," Ashland, OH", disk,1 minute,20362.0,2
31516,1974-06-25," South Haven, MI", disk,15 Minutes,4403.0,1
36298,1974-06-30," Minot, ND", other,30 minutes,40888.0,4
27973,1974-07-01," Benton, KY", fireball,10-20 seconds,4349.0,4
17035,1974-07-02," Plantation, FL", oval,3 minutes,84955.0,1
14936,1974-07-05," Jackson, MS", triangle,10-15 minutes,173514.0,1
7389,1974-07-07," Boston, MA", circle,5-8 minutes,617594.0,2
20667,1974-07-10," Marion, OH", sphere,3-5 minutes,36837.0,1
19954,1974-07-12," Mosinee, WI", oval,5 to 15 min,3988.0,1
41180,1974-07-15," Carthage, MS", unknown,2 Hours,5075.0,11
27336,1974-07-16," Scottsville, KY", cross,30+ Minutes,4226.0,2
504,1974-07-18," Bremerton, WA", delta,5 minits,37729.0,1
25383,1974-07-20," Marfa, TX", oval,3 menutes,1981.0,4
36058,1974-07-21," Newark, DE", disk,15 minutes,31454.0,2
23728,1974-07-24," Hagerstown, MD", disk,1-2 min,39662.0,2
12656,1974-07-25," Bridgeport, CT", circle,5 mins.,144229.0,1
30382,1974-07-26," Claremont, NC", oval,3 hours,1352.0,1
28701,1974-07-27," Cohasset, MA", light,15 minutes,,1
42316,1974-08-01," Grafton, MA", circle,10 mins.,,7
15640,1974-08-02," Warren, OH", circle,playing basketball,41557.0,1
40918,1974-08-07," Morganfield, KY", circle,30 minutes,3285.0,1
27765,1974-08-08," Lake Zurich, IL", sphere,two hours,19631.0,4
34009,1974-08-09," Spokane, WA", cigar,10-15 seconds,208916.0,2
25022,1974-08-10," New Rochelle, NY", oval,1 minute,77062.0,3
21057,1974-08-12," Boardman, OH", disk,60 minutes,35376.0,1
23983,1974-08-15," Girard, OH", unknown,2 min.,9958.0,7
41555,1974-08-16," Somersworth, NH", disk,5-10 seconds,11766.0,1
15565,1974-08-20," King City, CA", oval,7 to 10 Sec&apos;s,12874.0,2
32313,1974-08-23," Bridgeport (pond flowing out of Remington Arms compound), CT", triangle,about 3 hours of lost tim,144229.0,2
22418,1974-08-29," Rochester Hills, MI", disk,5 minutes,70995.0,1
25809,1974-09-01," Bremen, IN", disk,5 seconds,4588.0,4
22258,1974-09-03," Murfreesboro, TN", disk,5 minutes,108755.0,1
23789,1974-09-11," Denver, CO", other,5 min.,600158.0,1
25038,1974-09-13," Columbia, SC", disk,5 minutes,129272.0,1
12537,1974-09-14," Piedmont, OK", disk,30 seconds,5720.0,1
38188,1974-09-15," Independence, MO", other,Unknown,116830.0,8
20101,1974-09-22," Jamul (east of), CA", fireball,30-35 min.,6163.0,1
34853,1974-09-23," Spanaway, WA", other,unk,27227.0,1
23154,1974-09-30," Baskin, LA", oval,5 to ten minutes,254.0,1
33219,1974-10-01," Denton, TX", unknown,10 min,113383.0,4
6821,1974-10-06," Chicago, IL", oval,3 MINTUES,2695598.0,1
37710,1974-10-07," Yakima, WA", cone,40 minutes,91067.0,1
18095,1974-10-10," Hudson, KS", light,One hour?,129.0,2
17561,1974-10-14," Fulton, MO", diamond,1 minutes,12790.0,1
30324,1974-10-15," Oak Creek, CO", cigar,20,884.0,4
8693,1974-10-18," Hopkinsville, KY", circle,15-20 minutes,31577.0,1
2500,1974-10-20," Owensboro, KY", light,2 to 5 SECONDS,57265.0,2
26077,1974-10-22," Oneonta, AL", circle,10 sec,6567.0,1
15406,1974-10-31," Rockford, IL", light,5 seconds,152871.0,1
24075,1974-11-01," Nashville, TN", light,5 min.,601222.0,4
31740,1974-11-15," Aiken, SC", changing,60 seconds,29524.0,2
20837,1974-11-25," Verbena, AL", sphere,5 minutes,,2
27882,1974-12-01," Cullowhee, NC", sphere,hour,6228.0,2
31688,1974-12-05," Presque Isle, ME", other,2 mins,9692.0,1
14340,1974-12-12," Palmdale, CA", disk,unknown,152750.0,1
771,1974-12-15," Beaumont, TX", cigar,1 hr,118296.0,1
42050,1975-01-01," Goree/Mineral Wells (between), TX", light,3-4 hours,203.0,6
2031,1975-01-04," Houston, TX", disk,approx 1 min.,2099451.0,1
2292,1975-01-13," Uxbridge, MA", light,5 - 10 mins.,,1
24483,1975-01-15," Springfield, PA", unknown,20 seconds,,4
16066,1975-02-02," Pasco, WA", sphere,thirty seconds,59781.0,1
2217,1975-02-18," Akin, IL", triangle,2 hrs,,1
23117,1975-03-01," Roseville, CA", disk,1 minute,118788.0,2
