date,distance,drinking,population,satellite,fireball,pilotballon,precipitation,visibility,smog,shape,timing
20081226,9.821543591,,,0,,43.2452674,,,, fireball,30 sec
20080520,3.445830508,,,0,,,0,,, oval,10 seconds +/-
20050319,1.784731606,,,0,,,0.11,,, formation,15 seconds
20010508,6.231240289,,,0,,60.74989938,,,, flash,30-40 sec.
20100812,,,,0,,,,,, disk,20 minutes
20090223,,,,0,,,,,, circle,5 minutes
20050225,1.61683626,,,0,,,,,, other,3 to4 sec.
20060130,,,,0,,,,,, disk,30 minutes
20020806,0.549013143,,,0,,,0,6,, disk,one hour +
20040711,4919.510077,,,0,,,,,, triangle,10  seconds
20081219,,,,0,,,0.1,,, other,5-7 MIN
19991209,0.903337073,,,0,,24.31054722,,,,,1 minute
20010121,587.7280649,,,0,,,,,, unknown,10 seconds
20010423,258.1293122,,,0,,,,,, light,about three hours
20040222,1.275438456,,,0,,,0,5,, unknown,approx.10 min.
19990312,,,,0,,,,,, disk,15 sec
20020318,544.0123132,,,0,,4.770259021,0.16,,, disk,2-3 min.
20041121,1.351117636,,,0,,,0.1,,, other,aprox. 1 hour
20041003,0.177911408,,,0,,,0.12,,, oval,8 sec
19990514,1.702834252,,,0,,,,,, unknown,10 seconds
20050302,1.397800058,,,0,,,0,,, formation,2 minutes
20050315,0.916960998,,,0,,33.85621919,0.03,,, disk,2  minutes
20050718,1.320556583,,,0,,,0.11,,,,
20050316,0.327758596,,,0,,,0,8,, disk,3 to 5 min
20050718,0.580167323,,,0,,,0.11,,,,
20081105,1.541320632,,,0,,,0,15,,,
20031110,5.54343537,,,0,,,,,, disk,45 SEC.
20040615,1.541320632,,,0,,,0,15,,,One hour
19980924,0.549013143,,,0,,,0,5,, cigar,15 minutes
20020308,2059.955091,,,0,,,,,, circle,30 min.
20000817,,,,0,,,0.01,,, disk,5 minutes
20010510,,,,0,,,,,, disk,10 Min.
20040410,2.00705264,,,0,,,0,,, chevron,2-4min ?
