airport	count
Gulf Aerospace Heliport	3
Lake Ridge Aero Park Airport	5
Dermott Municipal Airport	6
Sunset Strip Airpark	2
Port Huron Hospital Heliport	31
Heins Field	8
Kayutah Lake Airport	2
Erlanger Medical Center Heliport	27
St-Pierre-Jolys (Carl's Field)	21
Ransome STOLport	8
St Rita's Medical Center Heliport	8
Schroder Airport	1
Lake Regional Health System Heliport	3
Rockenbach Airport	6
Odyssey Heliport	2
Chandler Regional Hospital Heliport	70
CCN Torre Norte Heliport	10
Valley Hospital, Wasilla Heliport	8
St Mary's Hospital Heliport	50
Baptist Hospital Heliport	52
Kenora (Lake of the Woods District Hospital) Heliport	17
Falls Pond Seaplane Base	15
RAF Charmy Down	6
River Falls Area Hospital Heliport	6
Rotor Leasing Heliport	2
Wilber Municipal Airport	1
Lmh Heliport	7
Beaver Creek Lodge Heliport	3
Andersons Hospital Heliport	7
Transco Station Sosh Heliport	4
High Mesa Airpark	1
Richland Airport	6
Kent County Memorial Hospital Heliport	2
Henry Post Army Air Field (Fort Sill)	1
Cayuga Medical Center Heliport	16
Victor's Landing Airport	5
Coupeville Nolf Airport	11
Montgomery Regional Hospital Heliport	5
Ferguson Seaplane Base	10
Banning Municipal Airport	9
Toronto (St. Michael's Hospital) Heliport	6
Itt Heliport	15
Grammar Airport	9
Yarra Bank Heliport	64
Dwight's Delight Airport	6
Print Pad Heliport	21
Tilden Airport	9
The Island Hospital Heliport	10
LZ Shadow Heliport	11
Kelly Ranch Heliport	26
Taylor Airport	9
Sweet Home Airport	3
Cowgill-Roemer Airport	2
Elkins-Randolph Co-Jennings Randolph Field	2
St Anthony North Heliport	20
Graywood Ranch Airport	2
Palm Springs International Airport	40
Charlton Building Heliport	19
Hawthorne Field	7
Perry Municipal Airport	8
Ely Bloomenson Community Hospital Heliport	12
Owosso Community Airport	3
Langley Park Airstrip	36
County Medical Center Heliport	130
Tehachapi Municipal Airport	10
Miami Childrens Hospital Heliport	7
Walter Reed National Medical Center Heliport	5
Biddeford Municipal Airport	6
Kamloops (BC Hydro) Heliport	4
Poudre Valley Hospital Heliport	48
Strafuss Airport	4
Green Valley Airfield	21
Port Hawkesbury Airport	8
Pomerado Hospital Heliport	18
Meadville Medical Center Heliport	10
Vero Beach Regional Airport	15
Western Carolina Regional Airport	3
Doylestown Heliport	14
John Henry Key Airport	4
Belle Fourche Municipal Airport	1
Prince Rupert (Hospital) Heliport	13
Cle Elum Municipal Airport	7
Jrmc Heliport	4
Old Plains Airport	4
G S A Laguna Niguel G/L Helistop	28
Ferndale Resort Seaplane Base	11
9 Newsport Heliport	74
Lima Allen County Airport	1
Sarah Bush Lincoln Health Center Heliport	3
Danielson Airport	11
G. V. Montgomery Airport	46
Jamestown Regional Airport	2
Executive Inn Heliport	30
Westchester County Airport	13
Sparks Regional Medical Center Heliport	33
Brook Farm Airfield	8
Lennoxville (Airview) Airport	11
Bayfront Medical Center Inc Heliport	49
A Z Minerals Corporation Airport	1
600 Grant Street Rooftop Heliport	64
Glenboro Airport	23
Wells Airport	12
Brian Ranch Airport	4
Jim Shearer South Airport	2
Freeway Airport	9
East Valley Sheriff's Station Heliport	45
Merced Regional Macready Field	13
Venice Municipal Airport	13
St. Rose Dominican Hospital Heliport	32
Everglades Airpark	2
Sawyer County Airport	8
Owensville Ambulance District Heliport	1
Pioneer Memorial Hospital Heliport	10
Morris Municipal - Charlie Schmidt Airport	3
Sky Meadow Airport	8
American Legion-Village of Centertown Heliport	2
East Templeton Airport	5
Arden Hill Heliport	3
Eureka Airport	27
Ward Heliport	3
Memorial Regional Hospital Heliport	18
Oakleaf Airport	2
Homey (Area 51) Airport	16
Laon - Chambry Airport	1
Thens Private Airstrip	12
Sentara Hampton General Hospital Heliport	11
St. John's International Airport	1
Langley Airport	16
Bed-Ah-Wick Field	8
Longmont United Hospital Heliport	38
Beach Airport	36
Ibm Heliport	23
Sky Meadows Airpark	1
Gallup Municipal Airport	12
Mc Cloud Airstrip	10
Young Private Airport	1
Clayton Municipal Airpark	2
Kaweah Delta District Heliport (A-lll)	19
Gulf Breeze Hospital Heliport	16
Ranch Heliport	12
Kamikaze Run Heliport	4
Maricopa County Sheriff's Office Heliport	68
Stroudsburg Pocono Airport	8
La Prensa Helipad	30
White River Municipal Airport	17
Airc Helistop	4
Bonanza Hills Airport	2
St Joseph Hospital Main Campus Heliport	54
Forks Airport	1
St Vincents - Victoria Barracks Helipad	77
Haddicks Heliport	13
Guadalupe Hospital Heliport	5
Aurora Valley View Medical Center Heliport	12
Glowacki Airport	4
Imvite Airport	1
Clintonville Community Hospital Heliport	1
Mount Fuji Airport	11
Rushmore Heliport	6
St Margarets Hospital Heliport	5
Fort Saskatchewan Community Hospital Heliport	2
Albany Municipal Airport	19
Foothill Presbyterian Hospital Heliport	33
Jackson Heliport	5
Carriers Skypark Airport	2
Aviosuperficie Sassuolo	3
Bangs Heliport	2
4 Winds Heliport	1
Beaver Seaplane Base	9
Rosacker's Nr 1 Seaplane Base	13
Arcade Tri County Airport	2
Veterans Administration Heliport	19
Kirkland Lake Airport	1
Casa Grande Municipal Airport	25
Altus Air Force Base	1
Dixie Medical Center Heliport	18
Dungannon	1
Chesterfield County Airport	7
Pitt Greenville Airport	8
Littleton Hospital Heliport	6
San Joaquin General Hospital Heliport	1
Barnstable Municipal Boardman Polando Field	18
Nielsen Airport	3
Peninsula Regional Medical Center Heliport	9
Dechant Farms Airport	11
Williams Airport	77
Brisbane Archerfield Airport	1
Griswold Airport	8
Wishkah River Ranch Airport	1
Cape Canaveral Hospital Heliport	10
Norman Kurrass Contractor Heliport	9
Kenmore Air Harbor Inc Seaplane Base	12
Harbour Airport	1
Veracka Heliport	28
Owen-Withee Airport	3
Bistrians Heliport	30
Chicago Meigs Airport	221
Myrtle Beach Hardee Airpark	2
Detroit Medical Center Heliport	34
A.H. Butz Downtown Allentown Heliport	24
Bassano Airport	5
Toyota Helistop	10
Ranger Heliport	8
Coast Guard Air Station San Francisco	13
Mount San Rafael Heliport	7
R S Auto Airport	1
Groundhog Mountain Airport	735
Shady Grove Adventist Hospital Heliport	19
Mackinac County Airport	2
Coimba University Hospital Helipad	42
Hamilton (General Hospital) Heliport	7
Palos Community Hospital Heliport	39
Howell Township Police Heliport	15
Skykomish State Airport	8
La Crosse Municipal Airport	14
Ellingsen Field	4
Bogus Creek Airport	11
Amway Downtown Heliport	58
Matt Doyle Airpark	7
Mcs-Pad Heliport	1
Theodore Francis Green State Airport	14
Walker I Heliport	4
Gaston Airport	4
Tonopah Airport	8
Rabbit Lane Airport	32
Flying U Airport	3
Riverlands Area Heliport	2
Va Medical Center Jackson Heliport	32
Crittenden Regional Hospital Heliport	6
Coyner Airstrip	1
Wendover Airport	8
J-B Airport	1
Thompson Seaplane Base	1
Blackhawk Airfield	7
Crozer-Chester Heliport	16
Bell Helicopter Hurst Heliport	7
Bent-Wing Airport	5
Aliquippa Hospital Heliport	4
St Joseph Memorial Hospital Heliport	5
Bremen Community Hospital Heliport	2
Conemaugh Valley Memorial Hospital Heliport	27
St Louis Lambert International Airport	23
Becker's Landing Airport	3
Princess Alexandra Hospital Helipad	1
Cdp Hospital Heliport	7
Woodsfield Heliport	5
Haverstraw Heliport	8
A Paul Vance Fredericktown Regional Airport	1
Raven's Run Airport	22
Sloas Airport	15
Oceanside Fire Department Heliport	46
Mandarin Yen So Heliport	6
Upper Chesapeake Medical Center Heliport	14
Cedar Run Airport	5
Lawrenceville Brunswick Municipal Airport	6
Odell Williamson Municipal Airport	6
Stone Airstrip	12
Carlisle Airport	10
Caribou Municipal Airport	7
Landing Pad Heliport	4
Versatile Heliport	24
Omak Airport	5
Butter Valley Golf Port Airport	2
Flying F Ranch Airport	5
Waltner & Richards Airport	4
Wca Hospital Heliport	7
Worcester Medical Center Heliport	21
Fayette Memorial Hospital Heliport	4
Vance Brand Airport	6
Oxbow Airport	8
Vidalia Regional Airport	3
Durwood Greene Construction Company Heliport	5
Pga National Heliport	7
Scenic Overlook B & B Heliport	8
Emanuel Medical Center Heliport	7
Greater Binghamton/Edwin A Link field	5
Hinton-Alderson Airport	5
Goldfield Ranch Airport	7
Tamarack Airport	3
Republic County Hospital Heliport	6
Aswan International Airport	1
Johnson Ranch Heliport	5
Calgary (Children's Hospital) Heliport	18
Fairview Airport	5
Frankfort Airport	16
Tri-County Airport	2
Southeast Iowa Regional Airport	7
Fairfield County Airport	15
Northampton Airport	12
Athanasiou Valley Airport	5
Mount Graham Regional Medical Center Heliport	6
OSF St Anthony's Health Center Heliport	5
Johnson City Stolport Airport	5
Brownsville General Hospital Heliport	22
Ticonderoga Municipal Airport	4
Subic Bay International Airport	2
Lakota Municipal Airport	7
Pleasant Farm Airport	3
Laguna Park Community Airport	2
Palm Beach County Judicial Center Heliport	37
Tenerife South Airport	5
Noblesville Airport	18
Kingman Airport	16
Ibm Building 110 Heliport	13
Hunter Construction Heliport	9
Summers Psnl Use Heliport	2
Carleton Place (District Memorial Hospital) Heliport	60
Blomster Field Farm Airport	4
Santa Rosa Memorial Hospital Heliport	16
Shannon Field	9
C.C.A. Heliport	8
Matagorda Shore Facility Heliport	2
Docktors Field	5
Flagstaff Medical Center East No. 2 Heliport	40
Reeds Airport	1
Bristol Regional Medical Center Heliport	6
Als Landing Strip	5
Mason Valley Airport	2
Tamarack Flyers Heliport	6
Klaverack Airport	2
Missouri Baptist Hospital Heliport	3
Wood Farm Airstrip	4
Juneau Harbor Seaplane Base	9
Camarillo Airport	19
Eric Marcus Municipal Airport	7
Fauquier Hospital Emergency Transport Heliport	4
Swartkop Air Force Base	7
